MIGPUMA,Geo_FIPS,Geo_LOGRECNO,Geo_STATE,Geo_PUMA5,Total Population,Population Density (Per Sq. Mile),Area (Land),SE_A00003_001,SE_A00003_002,SE_A00003_003,Total Population Under 18 Years,Total Population 18 to 34 Years,Total Population 35 to 64 Years,Total Population 65 and Over,Population 25 Years and Over,Population 25 Years and Over Less than High School,Population 25 Years and Over High School Graduate (Includes Equivalency),Population 25 Years and Over Some College,Population 25 Years and Over Bachelors Degree,Population 25 Years and Over Masters Degree,Population 25 Years and Over Professional School Degree,Population 25 Years and Over Doctorate Degree,Population 3 Years and Over Enrolled in School,Population 3 Years and Over Enrolled in School Public School,Population 3 Years and Over Enrolled in School Public School Pre-School,Population 3 Years and Over Enrolled in School Public School K-8,Population 3 Years and Over Enrolled in School Public School 9-12,Population 3 Years and Over Enrolled in School Public School College,Population 3 Years and Over Enrolled in School Private School,Population 3 Years and Over Enrolled in School Private School Pre-School,Population 3 Years and Over Enrolled in School Private School K-8,Population 3 Years and Over Enrolled in School Private School 9-12,Population 3 Years and Over Enrolled in School Private School College,Population 16 Years and Over in Labor Force Civilian,Population 16 Years and Over in Labor Force Civilian Employed,Population 16 Years and Over in Labor Force Civilian Unemployed,Median Household Income (In 2019 Inflation Adjusted Dollars),Housing Units,Housing Units Occupied,Housing Units Vacant,Median Gross Rent,Total Population Native Born,Total Population Foreign Born,Total Population Foreign Born Naturalized Citizen,Total Population Foreign Born Not a Citizen
100190,201500,128,2,1500,302838,64.98455785,4660.153273,4773.226,4660.153,113.07333,64661,62565,116995,58617,210034,32381,77646,62568,22569,11434,2285,1151,69466,63693,2131,31846,14161,15555,5773,1244,2096,1281,1152,133279,125318,7961,42155.97862,147528,121925,25603,610.9219847,294519,8319,2862,5457
100290,401303,231,4,1303,550996,285.8785302,1927.378036,2043.06821,1927.37761,115.690112,124412,126080,216879,83625,375284,41878,87144,112497,83124,39045,5459,6137,143218,121304,4307,54722,24367,37908,21914,2818,7888,4860,6348,268436,255566,12870,58309.57056,238729,214791,23938,737.4989474,520798,30198,13427,16771
100400,100400,59,1,400,123526,66.59219763,1854.962059,1905.456,1854.962,50.49392,27669,24933,49119,21805,84386,17045,32190,22724,8181,2935,589,722,28575,26803,868,14634,5798,5503,1772,102,467,423,780,48382,46631,1751,40620,56692,46448,10244,573,116336,7190,1938,5252
100600,100600,61,1,600,151867,119.5767561,1270.037798,1316.252,1270.038,46.2139,34027,31934,59480,26426,104187,15503,36338,33119,13570,3823,1238,596,36215,31762,879,15190,8299,7394,4453,765,2034,544,1110,65653,62404,3249,47042,67503,56691,10812,599,146475,5392,1383,4009
100700,100700,62,1,700,106477,78.99609877,1347.876688,1386.889,1347.877,39.01235,22922,21366,42396,19793,75415,14051,27613,25024,5273,2525,757,172,20742,18838,727,11006,4294,2811,1904,597,1055,37,215,46221,42381,3840,41515,51784,39718,12066,627,104424,2053,559,1494
100800,100800,63,1,800,146212,114.5223648,1276.711324,1304.268,1276.711,27.55652,33933,28885,58035,25359,101389,15981,36692,33451,9906,3997,620,742,29776,25586,589,15905,6076,3016,4190,172,2481,470,1067,62803,59846,2957,49115,61300,53587,7713,646,142940,3272,1689,1583
100900,100900,64,1,900,102755,191.945974,535.3329266,548.629,535.3329,13.29602,22340,20828,40380,19207,71846,11545,23817,22602,8372,3478,1564,468,22726,20993,1171,10693,4860,4269,1733,172,780,537,244,41300,38818,2482,41576,47751,37091,10660,618,100345,2410,903,1507
101000,101000,65,1,1000,158165,52.11173532,3035.112898,3111.433,3035.113,76.32054,34016,30425,63308,30416,111244,20703,40956,35183,8228,4329,1349,496,34396,31408,1338,16058,8587,5425,2988,59,1252,656,1021,64517,62112,2405,41489,80222,63059,17163,556,156292,1873,284,1589
101100,101100,66,1,1100,114728,189.3620666,605.8658002,612.2864,605.8658,6.420569,25000,25249,44504,19975,79582,11683,27097,25442,8446,4815,1107,992,26916,24761,1606,11319,5429,6407,2155,504,670,471,510,52209,48810,3399,46763,53786,44507,9279,632,111355,3373,1904,1469
101200,101200,67,1,1200,213605,272.1244149,784.9534562,809.524,784.9534,24.57052,50675,43464,87311,32155,144760,10222,28828,43003,40148,16214,3324,3021,55165,45418,863,22606,11648,10301,9747,1816,4134,1777,2020,111745,107124,4621,73031,87250,78666,8584,977,202785,10820,4096,6724
101300,506515,350,5,6515,659197,593.1885042,1111.277436,1123.81614,1111.27744,12.53869664,150754,154106,253255,101082,448110,45169,117906,135673,92518,36586,12962,7296,169666,145695,4614,69481,32796,38804,23971,7688,6478,2853,6952,321495,300430,21065,54056.41843,308822,259324,49498,894.2468701,631937,27260,9429,17831
101590,203100,149,2,3100,226930,103.000098,2203.201788,2241.37667,2203.20172,38.175331,47210,69382,80024,30314,143513,20940,42241,36396,26283,11862,2383,3408,62124,55765,2023,18960,9033,25749,6359,1080,3012,1654,613,105254,98448,6806,54509.69355,100736,78948,21788,856.2859913,219730,7200,1698,5502
101700,101700,76,1,1700,126426,23.01682632,5492.764217,5556.288,5492.764,63.52383,28941,27894,46455,23136,83936,13297,34353,23308,8444,3573,430,531,30499,25941,1097,11969,7260,5615,4558,421,1981,994,1162,46933,41153,5780,30674,64111,45506,18605,629,125808,618,161,457
101800,101800,77,1,1800,127909,48.14342252,2656.8323,2736.52,2656.832,79.68768,27632,27041,49044,24192,88772,14973,34365,25856,9350,3057,989,182,26745,24779,1001,13276,5705,4797,1966,413,876,463,214,54432,51929,2503,43673,65485,49507,15978,665,126242,1667,609,1058
101900,101900,78,1,1900,161604,265.992091,607.5518991,615.8488,607.5519,8.296918,34395,54476,53917,18816,96835,8048,24545,31893,17387,9973,2244,2745,57130,52239,1553,16701,6661,27324,4891,713,1573,457,2148,76634,73109,3525,52943,68921,58555,10366,804,152319,9285,4294,4991
102090,204100,159,2,4100,373889,137.807707,2713.121117,2786.4124,2713.1208,73.290759,87509,86275,144572,55533,250423,35144,71669,69910,45606,21203,3818,3073,90815,73682,1670,37607,16758,17647,17133,2053,7408,3451,4221,169150,159669,9481,49492.85255,167539,141960,25579,860.7401261,359594,14295,5724,8571
102200,102200,81,1,2200,136592,19.6773211,6941.595319,7009.69,6941.595,68.09454,29705,26863,54362,25662,95314,15234,44307,25180,6729,3215,399,250,27723,24073,1374,13826,6000,2873,3650,585,1060,716,1289,48281,42502,5779,33747,70524,46156,24368,558,135554,1038,606,432
