CHOSEN,JWMNP,FINCP,GRNTP,HINCP,SMOCP,PINCP,HH_COST,PERNP,WAGP,UNEMP,EMP,type
0100100,13.0,48000.0,680.0,33550.0,753.0,21800.0,0.26252307692307697,21800.0,20500.0,3,83,leavers
0100200,20.0,70000.0,785.0,70000.0,1107.0,35000.0,0.16238071895424838,34000.0,34000.0,3,86,leavers
0100301,15.0,77400.0,973.5,63600.0,977.0,30000.0,0.17573670110983544,30000.0,28600.0,8,77,leavers
0100302,15.0,62800.0,920.0,55000.0,1131.0,30000.0,0.21741141732283464,29050.0,28150.0,6,92,leavers
0100400,21.5,30300.0,580.0,35600.0,775.0,28600.0,0.15986013986013986,27000.0,27000.0,6,43,leavers
0100500,20.0,49100.0,674.0,46800.0,965.5,28800.0,0.17587304347826088,28100.0,28000.0,9,98,leavers
0100600,15.0,49590.0,655.0,48300.0,808.0,25400.0,0.17555518207282914,25000.0,25000.0,4,53,leavers
0100700,20.0,55000.0,650.0,55400.0,854.0,22800.0,0.1730839904506981,21200.0,20800.0,5,56,leavers
0100800,30.0,51800.0,727.0,52900.0,828.0,25550.0,0.204622641509434,25500.0,25000.0,7,59,leavers
0100900,20.0,64100.0,653.0,54500.0,903.0,22000.0,0.18440816326530612,20000.0,20000.0,7,65,leavers
0101000,15.0,42000.0,700.0,35270.0,624.0,22495.0,0.18563850774454066,22000.0,19750.0,8,50,leavers
0101100,20.0,41000.0,908.0,41000.0,911.0,21350.0,0.18937500000000002,21350.0,20000.0,2,54,leavers
0101200,25.0,100000.0,1110.0,80000.0,1218.0,35000.0,0.19338617058617058,32100.0,30000.0,6,145,leavers
0101301,15.0,30000.0,800.0,31700.0,785.5,20000.0,0.33,20000.0,20000.0,6,37,leavers
0101302,15.0,41000.0,880.0,43000.0,1420.0,25200.0,0.23771863117870723,25000.0,25000.0,14,78,leavers
0101303,20.0,95000.0,1134.0,75250.0,1679.0,43100.0,0.22005944277195066,42000.0,41000.0,6,125,leavers
0101304,25.0,65000.0,938.5,52400.0,1230.0,30000.0,0.22100258397932818,28000.0,28000.0,7,70,leavers
0101305,30.0,61000.0,977.0,61000.0,1266.5,30000.0,0.21086330935251796,30000.0,29900.0,5,64,leavers
0101400,25.0,55000.0,605.0,47350.0,452.0,24500.0,0.1841705587268639,23500.0,20000.0,8,52,leavers
0101500,27.5,64000.0,762.0,69000.0,1150.0,31500.0,0.17153846153846153,30000.0,26000.0,1,59,leavers
0101600,12.5,47000.0,870.0,24600.0,1304.0,15000.0,0.3745664739884393,15000.0,14000.0,9,82,leavers
0101700,20.0,53000.0,789.5,37300.0,648.0,20000.0,0.1993208221626452,20000.0,19500.0,3,37,leavers
0101800,27.5,38000.0,765.0,35000.0,746.5,20000.0,0.2223529411764706,16000.0,14900.0,10,37,leavers
0101900,15.0,73000.0,865.0,39400.0,920.0,16000.0,0.26133297733158894,15000.0,15000.0,9,76,leavers
0102000,15.0,66500.0,930.0,55000.0,1020.0,25000.0,0.22132330827067667,23700.0,23700.0,12,136,leavers
0102100,30.0,65000.0,1058.0,53050.0,966.0,31200.0,0.22220689655172413,30200.0,30200.0,4,70,leavers
0102200,19.0,50000.0,836.0,47500.0,691.0,26000.0,0.18719999999999998,26000.0,26000.0,7,35,leavers
0102300,20.0,51900.0,725.0,46000.0,525.0,25250.0,0.16951460142067876,22100.0,22100.0,8,96,leavers
0102400,15.0,44500.0,631.5,37000.0,661.0,24000.0,0.21535135135135133,23000.0,23000.0,8,69,leavers
0102500,20.0,53000.0,772.0,51965.0,970.0,27600.0,0.2010930774748924,26500.0,26300.0,22,235,leavers
0102600,20.0,83600.0,1256.0,79000.0,1084.0,34700.0,0.17775174529299767,32000.0,32000.0,6,91,leavers
0102701,20.0,55200.0,853.0,45000.0,1070.0,24000.0,0.22966216216216215,22550.0,22550.0,10,62,leavers
0102702,15.0,52150.0,821.0,42700.0,916.5,26800.0,0.3040556505182076,25000.0,25000.0,2,68,leavers
0102703,30.0,71400.0,933.0,73500.0,1047.0,35000.0,0.17326771653543305,35000.0,35000.0,3,69,leavers
0400100,30.0,130000.0,1663.0,106030.0,2075.0,56000.0,0.1938055662930035,55000.0,49000.0,6,105,leavers
0400101,20.0,69100.0,1302.0,72200.0,1124.0,39800.0,0.18182739143295817,35000.0,35000.0,10,121,leavers
0400102,20.0,68250.0,1202.5,69000.0,1361.5,28000.0,0.24637525791376425,28000.0,28000.0,9,125,leavers
0400103,20.0,51000.0,1086.5,46200.0,1111.0,28000.0,0.27400793650793653,27500.0,25000.0,11,140,leavers
0400104,20.0,40210.0,1172.0,45500.0,826.0,30000.0,0.25392000000000003,30000.0,30000.0,7,92,leavers
