CHOSEN,JWMNP,FINCP,GRNTP,HINCP,SMOCP,PINCP,HH_COST,PERNP,WAGP,UNEMP,EMP,type
0100100,15.0,46550.0,658.5,37060.0,718.0,22730.0,0.21720653377630122,22000.0,21500.0,6,118,leavers
0100200,25.0,54200.0,828.5,50000.0,926.0,30000.0,0.1989767441860465,28500.0,28000.0,5,70,leavers
0100301,15.0,67700.0,1010.0,60000.0,1072.5,32000.0,0.2083695652173913,30000.0,27600.0,2,71,leavers
0100302,15.0,33050.0,800.0,40000.0,1471.0,28800.0,0.22659999999999997,27000.0,25000.0,5,84,leavers
0100400,20.0,56000.0,590.5,51000.0,495.0,30000.0,0.1750146678170837,28000.0,28000.0,3,50,leavers
0100500,20.0,59200.0,653.0,49980.0,842.0,28000.0,0.17959999999999998,25000.0,25000.0,8,96,leavers
0100600,17.5,77500.0,610.0,73200.0,904.5,30000.0,0.14528462192013591,28500.0,27500.0,2,68,leavers
0100700,15.0,36700.0,603.0,35100.0,764.0,21000.0,0.2243362831858407,21000.0,21000.0,6,51,leavers
0100800,30.0,75000.0,747.0,53850.0,1150.0,34300.0,0.21083792048929664,32000.0,32000.0,3,56,leavers
0100900,15.0,40000.0,742.0,30800.0,650.0,20100.0,0.272,20100.0,20100.0,2,39,leavers
0101000,25.0,39100.0,662.0,39100.0,830.0,22000.0,0.18564705882352942,20200.0,20000.0,2,71,leavers
0101100,15.0,45810.0,621.0,32000.0,475.0,20000.0,0.19659574468085106,20000.0,17750.0,9,55,leavers
0101200,30.0,67500.0,997.0,53000.0,1168.0,37000.0,0.22920364999646314,36000.0,36000.0,3,85,leavers
0101301,20.0,40350.0,810.0,29900.0,628.0,22000.0,0.21299999999999997,21500.0,20900.0,9,38,leavers
0101302,15.0,35500.0,933.0,40800.0,750.0,23500.0,0.201,21650.0,21650.0,9,87,leavers
0101303,20.0,86000.0,1110.0,64250.0,1153.0,35000.0,0.19912221471978392,34600.0,34000.0,5,134,leavers
0101304,25.0,72000.0,935.5,56000.0,915.0,34850.0,0.18866666666666665,34350.0,29500.0,10,70,leavers
0101305,30.0,53600.0,820.0,42130.0,902.0,26400.0,0.21885433857378614,26400.0,22000.0,4,47,leavers
0101400,30.0,62360.0,553.0,35000.0,544.5,25100.0,0.21240797546012272,25100.0,24500.0,3,45,leavers
0101500,25.0,55000.0,990.0,54300.0,880.0,30000.0,0.22667152044654776,27150.0,26000.0,3,39,leavers
0101600,15.0,50000.0,910.0,34500.0,976.0,13750.0,0.3368,13750.0,13750.0,16,72,leavers
0101700,30.0,56875.0,720.0,50800.0,651.0,29000.0,0.14285714285714285,28000.0,28000.0,5,36,leavers
0101800,25.0,53600.0,1014.0,53000.0,677.0,27500.0,0.18684843624699277,27500.0,27500.0,4,44,leavers
0101900,15.0,53080.0,825.5,32000.0,756.5,16400.0,0.26549047619047617,16400.0,16400.0,13,87,leavers
0102000,15.0,51300.0,980.0,48400.0,1175.5,20020.0,0.24725,20000.0,20000.0,14,149,leavers
0102100,20.0,78400.0,908.0,70000.0,1045.0,31200.0,0.18018376722817764,31000.0,30000.0,2,81,leavers
0102200,25.0,54400.0,632.0,51350.0,605.0,31200.0,0.1367816556154554,30000.0,30000.0,4,39,leavers
0102300,20.0,60640.0,700.0,48000.0,831.5,30000.0,0.18830769230769231,30000.0,30000.0,4,73,leavers
0102400,20.0,48000.0,801.5,42000.0,675.0,21300.0,0.21714285714285714,21300.0,21300.0,6,59,leavers
0102500,15.0,50950.0,780.0,47800.0,810.0,28000.0,0.19856331877729258,28000.0,27000.0,27,223,leavers
0102600,25.0,72900.0,960.0,63700.0,764.0,35000.0,0.1811977701971878,35000.0,32000.0,1,68,leavers
0102701,20.0,41100.0,871.5,38500.0,724.0,28250.0,0.23480597014925372,28250.0,28250.0,4,40,leavers
0102702,15.0,61000.0,930.0,40500.0,802.5,20000.0,0.28412919896640826,20000.0,18000.0,2,55,leavers
0102703,24.0,50420.0,1008.0,51200.0,871.0,25000.0,0.19857142857142857,24850.0,24350.0,2,74,leavers
0400100,29.0,110000.0,1500.0,95700.0,2040.0,43150.0,0.20394901274681326,41000.0,40000.0,4,124,leavers
0400101,20.0,73000.0,1232.0,67200.0,889.5,39050.0,0.20830422196968074,33500.0,33000.0,7,103,leavers
0400102,25.0,100000.0,1008.5,78800.0,1260.0,35000.0,0.21095454545454545,35000.0,34000.0,8,111,leavers
0400103,20.0,57000.0,980.0,46500.0,1335.0,30000.0,0.25125000000000003,27500.0,25700.0,9,133,leavers
0400104,20.0,53700.0,1099.0,43960.0,1001.0,30000.0,0.26243827499176997,27500.0,27000.0,4,81,leavers
0400105,25.0,97500.0,1470.0,98000.0,1658.0,42000.0,0.19366917293233082,41000.0,40000.0,6,145,leavers
0400106,20.0,99200.0,1400.0,91625.0,1490.0,37500.0,0.18181818181818182,37000.0,36700.0,5,114,leavers
0400107,22.0,115400.0,1459.0,108700.0,1898.5,56100.0,0.1787663551401869,52500.0,52500.0,3,105,leavers
0400108,17.5,85900.0,1355.0,78000.0,1618.5,33000.0,0.23240506329113925,30000.0,29000.0,8,93,leavers
0400109,15.0,61440.0,1427.5,44200.0,1092.0,15000.0,0.3550344827586207,14700.0,13650.0,20,152,leavers
0400110,20.0,109000.0,1410.0,96000.0,1793.0,50000.0,0.17621359223300972,43000.0,39000.0,2,131,leavers
0400111,15.0,99350.0,1500.0,100800.0,1535.5,53000.0,0.18903991811668375,50000.0,50000.0,2,60,leavers
0400112,25.0,125400.0,1680.0,114200.0,2049.0,63065.0,0.1941040185587069,63000.0,61000.0,1,79,leavers
0400113,15.0,96750.0,1393.0,92500.0,1707.5,48000.0,0.210975,48000.0,40750.0,5,75,leavers
0400114,25.0,73000.0,1100.0,70300.0,1405.0,40000.0,0.24352293577981649,38000.0,35000.0,2,87,leavers
0400115,25.0,53000.0,1032.5,53000.0,1453.0,35000.0,0.24192000000000002,35000.0,35000.0,6,65,leavers
0400116,27.5,50000.0,935.0,45000.0,1270.0,30150.0,0.26926829268292685,30000.0,29000.0,11,103,leavers
0400117,25.0,116400.0,1100.0,82050.0,1318.0,43800.0,0.18550854156042834,40000.0,40000.0,5,104,leavers
0400118,15.0,59300.0,961.5,40500.0,1005.5,28900.0,0.2678887070376432,28000.0,28000.0,11,128,leavers
0400119,20.0,47200.0,1062.0,52050.0,1056.0,22000.0,0.22661807580174925,22000.0,20000.0,2,53,leavers
0400120,20.0,88900.0,1308.0,72500.0,1842.0,40000.0,0.2545678571428571,40000.0,36000.0,4,95,leavers
0400121,30.0,69000.0,1397.0,75000.0,1093.0,25600.0,0.18351464435146445,25000.0,22000.0,5,74,leavers
0400122,30.0,42900.0,900.0,40300.0,1077.0,20000.0,0.2705479452054794,20000.0,20000.0,10,80,leavers
0400123,30.0,43100.0,1136.5,49300.0,1045.0,26500.0,0.2595460614152203,26000.0,25050.0,9,77,leavers
0400124,30.0,40000.0,930.0,49100.0,1216.5,25850.0,0.2562162162162162,24150.0,24000.0,8,84,leavers
0400125,28.0,58400.0,1023.0,58400.0,1258.0,25200.0,0.2470358306188925,23500.0,23500.0,6,63,leavers
0400126,27.5,75750.0,1070.0,71000.0,1455.0,28000.0,0.2285714285714286,27000.0,27000.0,4,87,leavers
0400127,25.0,66500.0,1229.0,60000.0,1337.0,33000.0,0.2404978448275862,30000.0,30000.0,3,93,leavers
0400128,20.0,88000.0,1468.0,72000.0,1365.0,38000.0,0.22136363636363637,38000.0,38000.0,2,51,leavers
0400129,20.0,104750.0,1308.0,92700.0,1636.0,53100.0,0.19762662807525325,50000.0,48000.0,5,80,leavers
0400130,22.5,60900.0,1275.0,58900.0,863.0,31600.0,0.20584840517882835,30000.0,30000.0,5,65,leavers
0400131,25.0,77000.0,1383.0,73800.0,1533.0,40275.0,0.21618798955613577,39000.0,37350.0,1,53,leavers
0400132,20.0,99000.0,1423.0,103000.0,1934.0,34000.0,0.20933333333333332,32000.0,32000.0,5,95,leavers
0400133,25.0,54000.0,1160.0,53000.0,1168.0,30000.0,0.234125,30000.0,30000.0,7,92,leavers
0400134,22.0,78000.0,1255.0,80350.0,1378.0,42200.0,0.19552,40000.0,40000.0,3,96,leavers
0400201,30.0,62000.0,775.0,60000.0,900.0,27500.0,0.17752934233820733,25000.0,25000.0,2,54,leavers
0400202,30.0,111300.0,1130.0,72000.0,1387.0,32000.0,0.19666666666666668,32000.0,32000.0,4,89,leavers
0400203,25.0,77500.0,1148.0,74030.0,1400.0,35000.0,0.20617142857142856,33800.0,33000.0,11,104,leavers
0400204,25.0,115000.0,1050.0,85550.0,1168.0,38000.0,0.20400000000000001,36000.0,31000.0,4,89,leavers
0400205,25.0,88200.0,1025.0,84500.0,1088.0,45500.0,0.15974941268598275,40800.0,40000.0,0,73,leavers
0400206,20.0,47900.0,800.0,41415.0,820.0,28000.0,0.25476923076923075,25000.0,25000.0,6,100,leavers
0400207,15.0,43120.0,860.0,32250.0,667.0,15100.0,0.332752337189035,15000.0,15000.0,15,161,leavers
0400208,20.0,30100.0,872.0,32550.0,690.0,23000.0,0.28600000000000003,23000.0,21900.0,12,57,leavers
0400209,15.0,41550.0,1027.0,40000.0,1000.0,22000.0,0.3040909090909091,20000.0,20000.0,12,91,leavers
0400300,15.0,44000.0,730.0,47450.0,511.0,23000.0,0.16941176470588237,22400.0,22000.0,15,84,leavers
0400400,12.0,57360.0,1444.0,54150.0,857.0,10300.0,0.27927272727272723,10000.0,9950.0,21,173,leavers
0400500,20.0,62300.0,976.0,54200.0,1062.0,28250.0,0.21407035175879396,24000.0,24000.0,10,112,leavers
0400600,15.0,56000.0,809.0,52800.0,543.0,22000.0,0.18056590909090908,21200.0,20400.0,14,108,leavers
0400700,15.0,57970.0,953.0,53500.0,730.0,25600.0,0.21428571428571427,24000.0,24000.0,8,137,leavers
0400800,10.0,46000.0,788.0,45500.0,538.0,19450.0,0.1979136690647482,17150.0,16000.0,6,54,leavers
0400803,32.0,62000.0,1317.0,58800.0,1217.0,30000.0,0.24329230836919424,28000.0,27000.0,6,61,leavers
0400805,20.0,51500.0,840.0,55460.0,988.0,33000.0,0.18,33000.0,26500.0,3,43,leavers
0400807,30.0,60000.0,1053.0,60000.0,956.0,30000.0,0.21127753303964758,29800.0,26000.0,12,73,leavers
0400900,15.0,58000.0,810.0,48200.0,760.0,25000.0,0.20095693779904306,24000.0,20200.0,5,92,leavers
0500100,15.0,71500.0,1047.5,64200.0,1140.0,35500.0,0.1941182343293161,35000.0,35000.0,9,197,leavers
0500200,20.0,58000.0,838.0,42900.0,1043.0,26000.0,0.24275675675675676,25000.0,23500.0,15,135,leavers
0500300,15.0,41400.0,581.5,39650.0,531.0,20350.0,0.20684827586206894,20350.0,20000.0,8,76,leavers
0500400,15.0,38500.0,662.0,37300.0,644.0,20000.0,0.2216,20000.0,19400.0,6,74,leavers
0500500,15.0,48080.0,735.0,46000.0,601.0,20000.0,0.18956511205330104,20000.0,19600.0,16,134,leavers
0500600,15.0,39100.0,590.0,40050.0,620.0,18400.0,0.1983050847457627,16750.0,14500.0,13,69,leavers
0500700,20.0,41000.0,657.5,38400.0,816.0,21500.0,0.21264248704663213,20000.0,20000.0,10,71,leavers
0500800,10.0,46000.0,650.0,39100.0,635.0,20000.0,0.16530287296642437,20000.0,20000.0,9,88,leavers
0500900,20.0,56200.0,880.0,54600.0,1093.5,30000.0,0.2310509645839332,29200.0,28500.0,7,105,leavers
0501000,15.0,70000.0,1060.0,60000.0,1216.0,33000.0,0.22299943977591036,32000.0,30200.0,8,101,leavers
0501100,15.5,49000.0,871.0,42000.0,943.0,23950.0,0.21682758620689657,22400.0,21000.0,2,110,leavers
0501200,20.0,62750.0,890.0,61600.0,1072.5,35000.0,0.18570491803278688,35000.0,30000.0,6,54,leavers
0501300,15.0,46400.0,598.0,46400.0,546.0,20000.0,0.15896517412935324,17700.0,17600.0,16,89,leavers
0501400,15.0,37000.0,640.0,34000.0,835.0,20000.0,0.2276086956521739,20000.0,20000.0,10,99,leavers
0501500,15.0,34000.0,584.0,31400.0,530.0,15250.0,0.20660377358490567,15000.0,13650.0,7,43,leavers
0501600,15.0,50000.0,625.0,39140.0,663.0,20500.0,0.18058252427184465,20000.0,19500.0,8,90,leavers
0501700,20.0,47000.0,750.0,47000.0,494.0,28000.0,0.14973416180898086,27000.0,25000.0,9,38,leavers
0501800,13.5,50000.0,544.0,42050.0,703.0,17000.0,0.16871999999999998,17000.0,15400.0,4,49,leavers
0501900,10.0,40000.0,582.0,39500.0,866.0,24000.0,0.183,24000.0,21500.0,4,46,leavers
0502000,15.0,42000.0,621.0,40000.0,396.0,18000.0,0.18569999999999998,17500.0,16000.0,8,50,leavers
0600101,20.0,153500.0,1900.0,74000.0,2518.0,17000.0,0.33043478260869563,16000.0,12000.0,17,188,leavers
0600102,30.0,100300.0,2220.0,114250.0,2563.0,50000.0,0.22885106382978726,49200.0,45000.0,20,208,leavers
0600103,35.0,220000.0,1965.0,178500.0,4274.0,67000.0,0.21505084745762712,65000.0,58000.0,4,127,leavers
0600104,25.0,64300.0,1712.5,60000.0,1700.0,31000.0,0.3357165354330709,30000.0,30000.0,5,59,leavers
0600105,30.0,112000.0,2140.0,107200.0,2558.0,53600.0,0.272,50000.0,50000.0,5,99,leavers
0600106,45.0,175910.0,2078.0,130850.0,2580.0,52000.0,0.2120693198164258,50000.0,50000.0,1,44,leavers
0600107,35.0,114700.0,2120.0,88000.0,2561.0,35300.0,0.26914285714285713,35000.0,31500.0,8,74,leavers
0600108,35.0,160000.0,2608.0,133800.0,3683.0,75500.0,0.24324590163934426,75500.0,75500.0,6,96,leavers
0600109,35.0,136000.0,2450.0,136000.0,3361.0,70000.0,0.2352892675538969,70000.0,68000.0,9,126,leavers
0600110,25.0,170000.0,2550.0,150500.0,3808.5,70000.0,0.21854117647058824,70000.0,68000.0,5,156,leavers
0600300,15.0,69500.0,1105.0,63700.0,1469.0,30000.0,0.2149090909090909,28300.0,24000.0,8,91,leavers
0600701,10.0,79200.0,1070.0,53100.0,1928.0,20000.0,0.28954171562867215,19000.0,15000.0,8,117,leavers
0600702,15.0,72600.0,1130.0,68100.0,1188.0,21050.0,0.19195020746887967,20750.0,18750.0,6,46,leavers
0601100,20.0,42400.0,1050.0,42400.0,920.0,25000.0,0.2592898128898129,25000.0,22600.0,3,72,leavers
0601301,30.0,99400.0,1720.0,99400.0,2092.5,35000.0,0.24152137386864703,34500.0,33500.0,3,61,leavers
0601302,40.0,105000.0,1964.5,106450.0,2500.0,40515.0,0.2567110933359996,40100.0,40000.0,3,65,leavers
0601303,29.0,90000.0,1880.0,89710.0,2492.5,41300.0,0.24946667452413224,41300.0,40000.0,7,99,leavers
0601304,25.0,265200.0,2370.0,222080.0,4300.0,51250.0,0.18202247191011237,51500.0,41000.0,5,81,leavers
0601305,37.5,146420.0,2182.0,146000.0,4312.5,79000.0,0.2562604651162791,74500.0,67000.0,5,67,leavers
0601306,45.0,165500.0,2550.0,140800.0,3692.5,70000.0,0.23100906344410876,65000.0,60000.0,3,60,leavers
0601307,45.0,77000.0,1920.0,79000.0,2454.0,35000.0,0.34667264818691723,35000.0,35000.0,8,65,leavers
0601308,45.0,70700.0,2059.0,74800.0,2028.5,28800.0,0.33032085561497326,26000.0,25000.0,5,42,leavers
0601309,57.5,123300.0,2510.0,107000.0,2545.0,58000.0,0.2571074380165289,51000.0,45000.0,3,41,leavers
0601500,8.0,53000.0,771.0,53000.0,954.5,30000.0,0.21791150442477875,30000.0,28800.0,9,90,leavers
0601700,22.5,110900.0,1544.0,100000.0,2373.0,46500.0,0.2530612244897959,39000.0,36500.0,4,86,leavers
0601901,20.0,54500.0,950.0,55000.0,1378.0,24500.0,0.24687898089171978,23500.0,23500.0,8,56,leavers
0601902,15.0,71300.0,1080.0,55200.0,1913.0,27000.0,0.2904545454545454,24500.0,20000.0,6,122,leavers
0601903,15.0,28300.0,880.0,32000.0,1198.0,16850.0,0.32327760853951504,16500.0,16000.0,5,47,leavers
0601904,20.0,53800.0,990.0,54500.0,1027.0,25000.0,0.22400000000000003,24000.0,24000.0,13,96,leavers
0601905,20.0,42600.0,914.0,44200.0,1240.0,15000.0,0.2586572022002602,15000.0,15000.0,10,53,leavers
0601906,20.0,83930.0,1460.0,81000.0,2023.0,34900.0,0.22799999999999998,30000.0,30000.0,3,72,leavers
0601907,25.0,84680.0,880.0,83800.0,1899.5,32000.0,0.22032786885245903,32000.0,32000.0,6,47,leavers
0602300,15.0,68500.0,947.0,64700.0,1141.5,24300.0,0.2513093525179856,22000.0,17000.0,8,127,leavers
0602500,15.0,63000.0,860.0,56250.0,1035.0,29400.0,0.2409115572436245,27900.0,26000.0,13,63,leavers
0602901,20.0,40200.0,892.0,40600.0,1511.0,20000.0,0.3121276595744681,20000.0,19000.0,9,48,leavers
0602902,15.0,67000.0,1240.0,63000.0,1739.0,27450.0,0.24619426100169484,26000.0,25000.0,16,104,leavers
0602903,19.0,35000.0,1005.0,37200.0,742.0,17000.0,0.26188235294117646,16000.0,15300.0,13,54,leavers
0602904,20.0,46400.0,1060.0,46000.0,1175.0,20000.0,0.33434032983508244,20000.0,18400.0,7,27,leavers
0602905,19.0,64000.0,1100.0,52000.0,1414.0,27850.0,0.26485629335976213,26800.0,25500.0,12,104,leavers
0603100,15.0,62000.0,1090.0,61800.0,1283.0,24000.0,0.21866090509851813,23000.0,23000.0,7,103,leavers
0603300,15.0,69600.0,1172.0,64250.0,1305.0,30000.0,0.22873180626329592,26350.0,25000.0,7,75,leavers
0603701,30.0,112500.0,1388.0,112000.0,3041.5,30500.0,0.275136170212766,30000.0,27500.0,5,55,leavers
0603702,30.0,89000.0,2013.0,95650.0,3178.0,40000.0,0.2795333333333333,37700.0,36200.0,6,134,leavers
0603703,15.0,73000.0,1426.0,70200.0,1488.0,25000.0,0.26645367412140575,23000.0,23000.0,6,51,leavers
0603704,35.0,67000.0,1690.0,65100.0,1703.0,28720.0,0.3021856130217905,26200.0,26200.0,6,65,leavers
0603705,20.0,101000.0,2000.0,85580.0,2598.0,33000.0,0.31843178036605657,31500.0,29400.0,12,106,leavers
0603706,25.0,74600.0,1793.0,72300.0,2320.0,35000.0,0.3054545454545455,35000.0,35000.0,1,52,leavers
0603707,20.0,55600.0,1210.0,55600.0,913.0,24200.0,0.2253706754530478,24200.0,24200.0,3,27,leavers
0603708,30.0,100000.0,2356.0,104100.0,2590.0,33500.0,0.2925952813067151,31000.0,26500.0,1,35,leavers
0603709,28.0,128800.0,2390.0,129200.0,3298.0,41300.0,0.24729230769230767,40000.0,30000.0,4,33,leavers
0603710,30.0,82800.0,1790.0,73280.0,1904.0,23600.0,0.2840769230769231,23600.0,23600.0,8,82,leavers
0603711,30.0,100000.0,2053.0,84000.0,2122.5,27000.0,0.24120603015075376,24000.0,21600.0,11,92,leavers
0603712,20.0,64750.0,1490.0,63600.0,2190.5,22000.0,0.33,20300.0,20300.0,8,74,leavers
0603713,30.0,77900.0,1575.0,73000.0,2428.0,40000.0,0.2728767123287671,39000.0,35000.0,1,64,leavers
0603714,30.0,82000.0,2110.0,82000.0,2147.0,42500.0,0.22493333333333332,42500.0,42500.0,4,34,leavers
0603715,30.0,71500.0,1805.0,75550.0,2030.0,36400.0,0.27929512421399855,34650.0,34650.0,7,69,leavers
0603716,30.0,76650.0,1328.0,77300.0,2170.0,26000.0,0.2585749385749386,26000.0,26000.0,2,41,leavers
0603717,30.0,79500.0,1812.0,85200.0,1709.0,39100.0,0.324,36000.0,30000.0,3,70,leavers
0603718,20.0,102000.0,1890.0,96000.0,3436.0,40000.0,0.2850201342281879,39000.0,35000.0,7,118,leavers
0603719,20.0,94100.0,1955.0,78000.0,2608.0,50000.0,0.32666666666666666,50000.0,50000.0,5,83,leavers
0603720,25.0,63110.0,1966.0,67220.0,1766.5,29500.0,0.3428749576673913,26000.0,20000.0,9,66,leavers
0603721,30.0,77500.0,1860.0,70000.0,1539.0,31250.0,0.31901913875598087,30000.0,30000.0,8,88,leavers
0603722,30.0,70400.0,1635.0,67500.0,2680.0,30000.0,0.3382325581395349,30000.0,26400.0,6,120,leavers
0603723,30.0,60650.0,1390.0,62300.0,2313.0,25000.0,0.3513417721518987,23700.0,22000.0,5,61,leavers
0603724,30.0,76510.0,1794.0,83000.0,2653.0,38000.0,0.293515731874145,35500.0,34700.0,12,88,leavers
0603725,25.0,70000.0,2001.5,70000.0,2855.0,40000.0,0.3374769230769231,40000.0,40000.0,4,76,leavers
0603726,15.0,140000.0,2465.0,145600.0,2853.5,57200.0,0.25205549845837616,37500.0,10000.0,5,59,leavers
0603727,30.0,194900.0,2240.0,150000.0,3500.0,64255.0,0.19884358974358976,60000.0,59000.0,10,118,leavers
0603728,20.0,170000.0,2290.0,122500.0,3247.5,59500.0,0.233265306122449,59500.0,55000.0,9,78,leavers
0603729,20.0,73000.0,2120.0,67000.0,2780.0,29000.0,0.3490909090909091,21600.0,17600.0,17,216,leavers
0603730,30.0,100025.0,1950.0,75350.0,3212.0,36000.0,0.32727272727272727,35700.0,34950.0,11,141,leavers
0603731,30.0,145050.0,2114.0,77000.0,5125.0,50000.0,0.3225974025974026,50000.0,40000.0,6,74,leavers
0603732,30.0,86000.0,1727.0,78550.0,1398.5,40000.0,0.3021710999281093,40000.0,31700.0,9,149,leavers
0603733,30.0,67000.0,1600.0,50000.0,2158.0,30000.0,0.37791044776119403,30000.0,30000.0,10,88,leavers
0603734,25.0,60000.0,1670.0,68700.0,3845.0,40000.0,0.3134,40000.0,36000.0,13,146,leavers
0603735,30.0,80000.0,1934.0,87250.0,2476.5,35500.0,0.2922857142857143,35500.0,32650.0,11,117,leavers
0603736,30.0,117500.0,1570.0,100050.0,2141.0,43600.0,0.20943387161350593,43500.0,43500.0,1,43,leavers
0603737,30.0,90200.0,1805.0,75030.0,2691.0,30000.0,0.3141891891891892,30000.0,30000.0,6,53,leavers
0603738,20.0,58000.0,1340.0,58000.0,1887.5,25000.0,0.31569230769230766,25000.0,25000.0,1,39,leavers
0603739,35.0,58950.0,1595.0,63550.0,2590.0,35500.0,0.30000000000000004,35500.0,35500.0,4,64,leavers
0603740,20.0,57000.0,1482.5,56000.0,1807.0,23100.0,0.3366906474820144,20800.0,20000.0,4,45,leavers
0603741,30.0,56000.0,1280.0,54000.0,1461.0,22000.0,0.23450381679389312,22000.0,22000.0,1,41,leavers
0603742,30.0,49400.0,1130.0,49400.0,1982.0,25000.0,0.3449472682489924,25000.0,25000.0,2,50,leavers
0603743,28.0,46035.0,1260.0,43500.0,360.0,24000.0,0.2727272727272727,24000.0,22300.0,2,14,leavers
0603744,30.0,63600.0,2000.0,78200.0,1300.0,43000.0,0.2823673469387755,40000.0,36500.0,6,152,leavers
0603745,30.0,54850.0,1330.0,51700.0,1802.5,17900.0,0.3129411764705882,17900.0,15000.0,5,36,leavers
0603746,15.0,37400.0,1342.0,24000.0,1837.0,14000.0,0.58,6000.0,5000.0,12,55,leavers
0603747,30.0,87000.0,1640.0,69550.0,3046.0,39250.0,0.3490909090909091,37400.0,33000.0,4,74,leavers
0603748,20.0,156000.0,2450.0,125280.0,3567.5,62000.0,0.261,61000.0,60000.0,13,152,leavers
0603749,27.5,65600.0,1550.0,67000.0,2306.0,24900.0,0.25014084507042256,24900.0,24900.0,4,47,leavers
0603750,30.0,60000.0,1410.0,63000.0,2403.0,30000.0,0.3073949579831933,30000.0,30000.0,7,52,leavers
0603751,30.0,37400.0,1494.0,44660.0,2132.0,19000.0,0.4690909090909091,19000.0,18500.0,11,60,leavers
0603752,30.0,48300.0,1300.0,46500.0,2155.0,18000.0,0.3534992849954981,18000.0,17200.0,7,50,leavers
0603753,30.0,104000.0,1800.0,91000.0,2745.0,39530.0,0.35544519333096847,39500.0,37500.0,3,37,leavers
0603754,30.0,86000.0,1460.0,81000.0,2313.5,40000.0,0.24975613382899628,39000.0,39000.0,0,51,leavers
0603755,32.5,82000.0,1352.0,82000.0,1765.0,45000.0,0.24145945945945946,45000.0,45000.0,2,41,leavers
0603756,35.0,62000.0,1615.0,60500.0,1332.0,30000.0,0.30306435137895815,30000.0,30000.0,0,41,leavers
