,GISMATCH,STATEFIP,State,MIGPLAC,MIGPUMA,PWSTATE,PWPUMA,center,type
0,600100,06,California,006,00100,06,00100,POINT (-2234513.5186027084 322640.23786463443),T34
1,600700,06,California,006,00700,06,00700,POINT (-2150235.3608877943 534214.0203136775),Metro
2,601100,06,California,006,01100,06,01100,POINT (-2216786.2610064456 604917.4494366695),Micro
3,601300,06,California,006,01300,06,01300,POINT (-2229879.805136674 352695.13960709283),T34
4,601500,06,California,006,01500,06,01500,POINT (-2096371.819538961 692307.6508446125),Metro
5,601700,06,California,006,01700,06,01700,POINT (-2087339.0818066744 414184.82773163397),T34
6,601900,06,California,006,01900,06,01900,POINT (-2070500.0385958732 175923.5536188975),Metro
7,602300,06,California,006,02300,06,02300,POINT (-2302538.071593191 698332.1798871111),Micro
8,602900,06,California,006,02900,06,02900,POINT (-2028685.4823970208 2244.6366708038818),Metro
9,603100,06,California,006,03100,06,03100,POINT (-2103406.2602396226 105312.15151100713),Metro
10,603300,06,California,006,03300,06,03300,POINT (-2292380.788419982 537392.1519731148),Micro
11,603700,06,California,006,03700,06,03700,POINT (-2010993.1873027533 -119561.57245645297),T34
12,603900,06,California,006,03900,06,03900,POINT (-2067305.305941909 228215.85702568135),Metro
13,604100,06,California,006,04100,06,04100,POINT (-2291285.5589902545 388330.6204251727),T34
14,604700,06,California,006,04700,06,04700,POINT (-2149177.1281577605 246537.5921843773),Metro
15,605300,06,California,006,05300,06,05300,POINT (-2214378.19365991 164303.07222181422),Metro
16,605500,06,California,006,05500,06,05500,POINT (-2245523.0856967582 425951.54008474963),Metro
17,605700,06,California,006,05700,06,05700,POINT (-2078206.6416401928 488460.79075895343),Micro
18,605900,06,California,006,05900,06,05900,POINT (-1985454.6786815694 -196674.75984104228),T34
19,606100,06,California,006,06100,06,06100,POINT (-2095270.8653344612 449321.6171441111),T34
20,606700,06,California,006,06700,06,06700,POINT (-2164533.3735171375 397288.5483051327),T34
21,607500,06,California,006,07500,06,07500,POINT (-2277982.9697124874 347644.51530429494),T34
22,607700,06,California,006,07700,06,07700,POINT (-2174248.663956962 339492.27234681783),Metro
23,607900,06,California,006,07900,06,07900,POINT (-2173674.985974461 43957.536555922496),Metro
24,608100,06,California,006,08100,06,08100,POINT (-2278688.2694090367 308909.44138184976),T34
25,608300,06,California,006,08300,06,08300,POINT (-2159967.4632704477 -42183.69592047767),Metro
26,608500,06,California,006,08500,06,08500,POINT (-2230794.7937275013 273324.8543884429),Metro
27,608700,06,California,006,08700,06,08700,POINT (-2262105.596078427 261685.37992560407),Metro
28,608900,06,California,006,08900,06,08900,POINT (-2153062.61908402 662591.9724010158),Metro
29,609500,06,California,006,09500,06,09500,POINT (-2218746.1410212233 392008.8911569663),Metro
30,609700,06,California,006,09700,06,09700,POINT (-2291010.134806198 441529.2626694913),Metro
31,609900,06,California,006,09900,06,09900,POINT (-2162271.1604343867 292651.6564544711),Metro
32,610100,06,California,006,10100,06,10100,POINT (-2158717.420866184 477078.57805121253),Metro
33,610700,06,California,006,10700,06,10700,POINT (-2011628.6826020414 99069.81722053025),Metro
34,611100,06,California,006,11100,06,11100,POINT (-2083586.2018119239 -86511.37798027918),Metro
35,611300,06,California,006,11300,06,11300,POINT (-2204406.6542427763 435265.0412535654),T34
36,1500100,15,Hawaii,015,00100,15,00100,POINT (-6107726.536014881 259503.46755429386),Metro
37,1500200,15,Hawaii,015,00200,15,00200,POINT (-6035014.406770269 -19873.04225620738),Micro
38,3200100,32,Nevada,032,00100,32,00100,POINT (-1963794.4342321518 599533.0442311924),Metro
39,3200200,32,Nevada,032,00200,32,00200,POINT (-1981847.9506819167 416841.60467765736),Micro
40,4100400,41,Oregon,041,00400,41,00400,POINT (-1994898.0755205716 984373.9079720658),Metro
41,4100500,41,Oregon,041,00500,41,00500,POINT (-2130304.3205008963 1200852.7911159762),
42,4100600,41,Oregon,041,00600,41,00600,POINT (-2093504.389945778 1078602.1961946406),Metro
43,4100700,41,Oregon,041,00700,41,00700,POINT (-2118925.39282384 1022063.1207667289),Metro
44,4100800,41,Oregon,041,00800,41,00800,POINT (-2242644.4573581186 909915.1977545245),Micro
45,4100900,41,Oregon,041,00900,41,00900,POINT (-2156613.291713314 857667.4775797805),Metro
46,4101000,41,Oregon,041,01000,41,01000,POINT (-2164049.314766451 958436.4866273385),Micro
47,4101100,41,Oregon,041,01100,41,01100,POINT (-2069067.8361676536 1119478.7788601324),Metro
48,4101200,41,Oregon,041,01200,41,01200,POINT (-2122865.4537009383 1153913.862941233),Metro
49,4101325,41,Oregon,041,01325,41,01325,POINT (-2036629.5155469498 1184663.7728615329),T34
50,4101326,41,Oregon,041,01326,41,01326,POINT (-2032911.0190126984 1142096.5020822678),T34
51,4101327,41,Oregon,041,01327,41,01327,POINT (-2087485.6118168645 1200853.5592318359),T34
52,5311100,53,Washington,053,11100,53,11100,POINT (-2034614.6573876485 1210886.4383846025),T34
53,5311200,53,Washington,053,11200,53,11200,POINT (-2067920.3504788475 1286424.7342426938),Metro
54,5311300,53,Washington,053,11300,53,11300,POINT (-2070985.7777646363 1387640.90025902),Micro
55,5311400,53,Washington,053,11400,53,11400,POINT (-2025339.011447314 1339780.4835231947),Metro
56,5311500,53,Washington,053,11500,53,11500,POINT (-1968640.965340751 1335487.7633144488),T34
57,5311800,53,Washington,053,11800,53,11800,POINT (-1992927.5061723553 1410009.0388473377),Metro
58,100190,01,Alabama,001,00190,01,00190,POINT (754135.6986992772 -335452.4307189541),
59,101590,01,Alabama,001,01590,01,01590,POINT (762533.9623780269 -438409.0186024433),Metro
60,102600,01,Alabama,001,02600,01,02600,POINT (789650.6631455718 -721426.1284891433),Metro
61,102700,01,Alabama,001,02700,01,02700,POINT (743080.9463110489 -719237.3837560732),Metro
62,400100,04,Arizona,004,00100,04,00100,POINT (-1517301.0831891657 -332612.7236669361),T34
63,400200,04,Arizona,004,00200,04,00200,POINT (-1476204.2804264475 -481013.03052528715),Metro
64,400700,04,Arizona,004,00700,04,00700,POINT (-1657886.2615578158 -372641.4153414689),Metro
65,400800,04,Arizona,004,00800,04,00800,POINT (-1342545.4419198101 -377441.2404413056),Micro
66,400900,04,Arizona,004,00900,04,00900,POINT (-1308576.1001559964 -538792.8995521126),Metro
67,500900,05,Arkansas,005,00900,05,00900,POINT (334776.2888878592 -299231.8611798428),Metro
68,501100,05,Arkansas,005,01100,05,01100,POINT (354244.44635268365 -280291.6284186446),Metro
69,501200,05,Arkansas,005,01200,05,01200,POINT (302179.0015041861 -314230.8920793031),Metro
70,501600,05,Arkansas,005,01600,05,01600,POINT (250974.79712722445 -347791.12371047924),Micro
71,501790,05,Arkansas,005,01790,05,01790,POINT (390590.1181870103 -404076.2752232866),Metro
72,501900,05,Arkansas,005,01900,05,01900,POINT (298010.4922322253 -446798.3180524067),Micro
73,502000,05,Arkansas,005,02000,05,02000,POINT (209873.13406769038 -429046.4003356362),Micro
74,602500,06,California,006,02500,06,02500,POINT (-1785119.915078577 -316532.68125916185),Metro
75,2200100,22,Louisiana,022,00100,22,00100,POINT (197709.89457513226 -548178.0587733119),Metro
76,2200200,22,Louisiana,022,00200,22,00200,POINT (233713.5717650495 -534660.9112108785),Metro
77,2200300,22,Louisiana,022,00300,22,00300,POINT (259056.15160035217 -601599.3686298875),
78,2200400,22,Louisiana,022,00400,22,00400,POINT (359342.4205056116 -554424.2371154508),Metro
79,2200500,22,Louisiana,022,00500,22,00500,POINT (392605.6258789089 -555170.8880840909),
80,2200600,22,Louisiana,022,00600,22,00600,POINT (363738.3953617158 -655484.1898779417),
81,2200700,22,Louisiana,022,00700,22,00700,POINT (298685.25180588855 -704222.6331114774),Micro
82,2200890,22,Louisiana,022,00890,22,00890,POINT (273400.9597545388 -802133.3912726988),Metro
83,2201000,22,Louisiana,022,01000,22,01000,POINT (365765.3111044257 -757465.6667021121),Micro
84,2201100,22,Louisiana,022,01100,22,01100,POINT (351420.36728157557 -831233.1675267436),Metro
85,2201200,22,Louisiana,022,01200,22,01200,POINT (378315.52380026365 -806627.418385152),Metro
86,2201300,22,Louisiana,022,01300,22,01300,POINT (424898.03478518396 -835418.5231197042),Micro
87,2201400,22,Louisiana,022,01400,22,01400,POINT (443362.9618666477 -757811.7502898701),Metro
88,2201500,22,Louisiana,022,01500,22,01500,POINT (469406.05629640585 -765540.5445746386),Metro
89,2201600,22,Louisiana,022,01600,22,01600,POINT (489017.9804198354 -801722.0532917721),Metro
90,2201700,22,Louisiana,022,01700,22,01700,POINT (505208.896123828 -759067.0188299672),Metro
91,2201800,22,Louisiana,022,01800,22,01800,POINT (549635.374124205 -738605.8831928059),Micro
92,2201900,22,Louisiana,022,01900,22,01900,POINT (525749.2040787558 -823207.6978311489),Metro
93,2202000,22,Louisiana,022,02000,22,02000,POINT (523651.56614164787 -861152.8949190573),Metro
94,2202100,22,Louisiana,022,02100,22,02100,POINT (498426.8229828245 -888272.4805177181),Metro
95,2202200,22,Louisiana,022,02200,22,02200,POINT (580476.912236795 -769105.152874319),Metro
96,2202390,22,Louisiana,022,02390,22,02390,POINT (608103.525566312 -859665.9053070256),Metro
97,2202400,22,Louisiana,022,02400,22,02400,POINT (585757.2718553547 -815510.1397809164),Metro
98,2800100,28,Mississippi,028,00100,28,00100,POINT (544365.7573155134 -276708.1092289242),Metro
99,2800200,28,Mississippi,028,00200,28,00200,POINT (645039.8663756447 -282233.6079317623),
100,2800300,28,Mississippi,028,00300,28,00300,POINT (527676.9088235655 -339803.17602250166),
101,2800400,28,Mississippi,028,00400,28,00400,POINT (647944.3429794193 -359119.7887897647),Micro
102,2800500,28,Mississippi,028,00500,28,00500,POINT (646852.4702786274 -331068.3905690478),Micro
103,2800600,28,Mississippi,028,00600,28,00600,POINT (659325.4963410154 -439352.7876004269),Micro
