,GISMATCH,GISJOIN,GEOID,STATEFIP,State,PUMA,Name,center,type,CBSA_name
0,600105,G06000105,0600105,06,California,00105,"Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities PUMA",POINT (-2258808.793332302 339396.4722123478),T34,"San Francisco-Oakland-Hayward, CA Metro Area"
1,600102,G06000102,0600102,06,California,00102,Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities PUMA,POINT (-2262119.20387295 349529.9544024405),T34,"San Francisco-Oakland-Hayward, CA Metro Area"
2,608502,G06008502,0608502,06,California,08502,Santa Clara County (Northwest)--Sunnyvale & San Jose (North) Cities PUMA,POINT (-2251625.280558518 299700.2119385958),Metro,"San Jose-Sunnyvale-Santa Clara, CA Metro Area"
3,600108,G06000108,0600108,06,California,00108,"Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities PUMA",POINT (-2249381.571782368 314454.5304018197),T34,"San Francisco-Oakland-Hayward, CA Metro Area"
4,600107,G06000107,0600107,06,California,00107,Alameda County (Central)--Hayward City PUMA,POINT (-2249209.156361292 325491.2460234718),T34,"San Francisco-Oakland-Hayward, CA Metro Area"
5,600101,G06000101,0600101,06,California,00101,Alameda County (North)--Berkeley & Albany Cities PUMA,POINT (-2260554.359252564 356587.0975491673),T34,"San Francisco-Oakland-Hayward, CA Metro Area"
6,600110,G06000110,0600110,06,California,00110,"Alameda County (East)--Livermore, Pleasanton & Dublin Cities PUMA",POINT (-2221799.579042307 317252.0556001828),T34,"San Francisco-Oakland-Hayward, CA Metro Area"
7,608504,G06008504,0608504,06,California,08504,Santa Clara County (North Central)--Milpitas & San Jose (Northeast) Cities PUMA,POINT (-2240465.530567966 298743.8177117567),Metro,"San Jose-Sunnyvale-Santa Clara, CA Metro Area"
8,600109,G06000109,0600109,06,California,00109,Alameda County (South Central)--Fremont City (East) PUMA,POINT (-2243211.85365111 312769.6606785513),T34,"San Francisco-Oakland-Hayward, CA Metro Area"
9,600106,G06000106,0600106,06,California,00106,"Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland PUMA",POINT (-2247527.459646577 336890.2088202925),T34,"San Francisco-Oakland-Hayward, CA Metro Area"
