ORIGIN,JWMNP,FINCP,GRNTP,HINCP,SMOCP,PINCP,HH_COST,PERNP,WAGP,UNEMP,EMP,type
0100190,20.0,63500.0,582.0,55000.0,545.0,34000.0,0.1395,30000.0,30000.0,52,1062,stayers
0100290,20.0,80400.0,786.5,71000.0,860.0,42000.0,0.14353846153846153,38000.0,35000.0,80,2025,stayers
0100400,20.0,55050.0,610.0,49840.0,542.5,32000.0,0.1383944055944056,30000.0,27000.0,23,514,stayers
0100600,20.0,70100.0,702.5,60000.0,634.0,40000.0,0.1384083044982699,36600.0,35000.0,22,513,stayers
0100700,20.0,59000.0,653.0,53000.0,552.0,33000.0,0.13487179487179488,30600.0,30000.0,16,400,stayers
0100800,30.0,65400.0,779.0,61000.0,674.0,40000.0,0.14307304785894207,40000.0,36000.0,9,410,stayers
0100900,15.0,66900.0,680.0,59000.0,590.0,33700.0,0.15558260869565216,32000.0,30000.0,11,348,stayers
0101000,20.0,56700.0,652.5,51400.0,570.0,35000.0,0.15076923076923077,32000.0,31000.0,29,450,stayers
0101100,20.0,61450.0,752.0,53100.0,680.0,34800.0,0.1632788321167883,31500.0,30000.0,14,354,stayers
0101200,25.0,100000.0,1047.0,90000.0,1106.0,48830.0,0.14391836734693877,45000.0,45000.0,22,804,stayers
0101300,20.0,79700.0,936.5,68900.0,950.0,40900.0,0.1646086956521739,38000.0,36000.0,106,2035,stayers
0101590,20.0,75900.0,840.0,69500.0,872.0,39980.0,0.15671794871794872,37000.0,35000.0,30,727,stayers
0101700,20.0,56480.0,600.5,45500.0,513.0,31200.0,0.16067796610169494,29000.0,28000.0,23,338,stayers
0101800,23.0,63300.0,711.0,59600.0,613.0,35000.0,0.13392130257801899,32700.0,31600.0,24,426,stayers
0101900,20.0,85400.0,904.0,76000.0,903.0,42000.0,0.1609691755987563,37750.0,35000.0,13,393,stayers
0102090,20.0,72810.0,915.0,65300.0,856.5,40000.0,0.16,35000.0,35000.0,49,1180,stayers
0102200,20.0,54400.0,620.0,47500.0,475.0,36000.0,0.14627586206896553,34000.0,30700.0,28,461,stayers
0102300,20.0,66200.0,660.0,60000.0,590.0,35000.0,0.13602671118530885,33000.0,31000.0,33,723,stayers
0102400,20.0,53000.0,687.0,46630.0,623.5,30700.0,0.17008695652173914,29100.0,28000.0,36,465,stayers
0102500,15.0,68900.0,728.0,60000.0,680.0,35000.0,0.14275862068965517,32000.0,30000.0,82,1705,stayers
0102600,25.0,77000.0,920.0,67300.0,906.0,40000.0,0.1517948717948718,37250.0,33000.0,10,602,stayers
0102700,20.0,60100.0,860.0,53990.0,771.5,35150.0,0.16886227544910182,32000.0,30000.0,72,1184,stayers
0400100,20.0,85000.0,1169.0,78800.0,1221.0,41000.0,0.17873205741626794,40000.0,38000.0,643,15982,stayers
0400200,20.0,73400.0,940.0,65950.0,954.5,36000.0,0.17181818181818181,32400.0,30300.0,183,3570,stayers
0400300,20.0,40800.0,595.0,38000.0,212.0,28000.0,0.09625668449197862,25000.0,24800.0,105,704,stayers
0400400,15.0,66100.0,1110.0,64800.0,502.0,32350.0,0.1283076923076923,30000.0,29000.0,37,559,stayers
0400500,15.0,62100.0,880.0,56000.0,806.0,35000.0,0.18572307692307694,30000.0,28000.0,41,527,stayers
0400600,15.0,56200.0,770.0,49600.0,646.0,32000.0,0.16967371464662562,30000.0,29000.0,37,574,stayers
0400700,15.0,57100.0,880.0,54950.0,708.0,32000.0,0.1682142857142857,30000.0,30000.0,42,568,stayers
0400800,25.0,65300.0,950.0,62000.0,830.0,38400.0,0.16167272727272727,36000.0,35000.0,98,1439,stayers
0400900,15.0,64000.0,738.0,55000.0,710.0,33300.0,0.1575,30000.0,29000.0,30,505,stayers
0500100,15.0,85000.0,900.0,80000.0,1015.5,40000.0,0.1483076923076923,40000.0,37800.0,29,1066,stayers
0500200,17.0,76000.0,852.0,68000.0,895.0,40000.0,0.15624,38000.0,36200.0,20,735,stayers
0500300,15.0,52400.0,600.0,46950.0,504.0,30000.0,0.14787096774193548,27000.0,25000.0,30,595,stayers
0500400,15.0,52000.0,600.0,45400.0,523.5,30000.0,0.15245136186770428,27000.0,25000.0,16,505,stayers
0500590,15.0,59250.0,690.0,53400.0,629.0,33000.0,0.1501223063482819,31600.0,30000.0,60,1115,stayers
0500700,15.0,54000.0,590.0,48300.0,525.0,34000.0,0.14777777777777779,31000.0,30000.0,23,370,stayers
0500800,15.0,59650.0,700.0,49800.0,513.0,32000.0,0.14846511627906978,30000.0,29500.0,23,409,stayers
0500900,20.0,82800.0,857.5,68400.0,927.0,42600.0,0.15547540983606556,40000.0,38000.0,50,1164,stayers
0501100,20.0,76000.0,810.0,67080.0,846.0,40000.0,0.15431905150241515,39000.0,37300.0,27,763,stayers
0501200,22.0,77400.0,909.0,70000.0,780.0,40000.0,0.1400888888888889,40000.0,39000.0,11,391,stayers
0501300,15.0,53780.0,650.0,50000.0,522.0,30400.0,0.13625,30000.0,28000.0,37,535,stayers
0501400,15.0,61150.0,675.0,58500.0,714.0,35000.0,0.1533795372955724,34000.0,31000.0,12,626,stayers
0501500,20.0,56000.0,673.0,48500.0,504.0,30000.0,0.136,27000.0,26000.0,23,442,stayers
0501600,15.0,60600.0,735.0,56000.0,604.0,30800.0,0.14613821138211383,28000.0,26650.0,18,534,stayers
0501790,15.0,55300.0,682.5,49800.0,559.0,35070.0,0.13421875,34000.0,32800.0,35,721,stayers
0501900,15.0,56500.0,625.0,52000.0,458.0,33450.0,0.1271641791044776,30000.0,30000.0,16,358,stayers
0502000,17.5,55000.0,704.0,48200.0,459.0,34600.0,0.13558441558441559,31000.0,30000.0,19,390,stayers
0600100,30.0,132400.0,1900.0,123030.0,2424.0,60000.0,0.20646904969485613,60000.0,55000.0,291,7572,stayers
0600300,16.0,76000.0,990.0,68000.0,1151.0,40000.0,0.1871662763466042,35000.0,31900.0,46,650,stayers
0600700,15.0,67000.0,1068.5,62400.0,1094.0,32150.0,0.20739743164237023,30000.0,27000.0,56,746,stayers
0601100,20.0,65000.0,952.0,60310.0,894.0,35000.0,0.1828668941979522,31000.0,27000.0,30,462,stayers
0601300,30.0,124800.0,1827.5,116800.0,2248.0,59700.0,0.20766878980891718,53000.0,50000.0,177,4286,stayers
0601500,15.0,57700.0,810.0,53800.0,765.5,36000.0,0.1697952218430034,32000.0,30000.0,37,520,stayers
0601700,20.0,103700.0,1467.0,95600.0,1750.0,52650.0,0.19963636363636364,47000.0,41000.0,27,677,stayers
0601900,20.0,72000.0,1010.0,67100.0,1240.0,32900.0,0.21000000000000002,30000.0,28000.0,227,3222,stayers
0602300,15.0,66200.0,978.0,60700.0,976.0,34000.0,0.20403556803556805,28800.0,25000.0,36,509,stayers
0602500,15.0,55300.0,797.0,54500.0,910.0,30000.0,0.20256663376110562,25000.0,23750.0,36,364,stayers
0602900,16.0,65300.0,1035.0,63900.0,1145.0,32200.0,0.20553362510513354,30000.0,29000.0,164,2293,stayers
0603100,15.0,70700.0,1067.0,71000.0,1127.5,36000.0,0.18282548476454294,35000.0,32000.0,27,420,stayers
0603300,15.0,67310.0,1100.0,60000.0,1113.0,37000.0,0.217911227154047,31000.0,26000.0,29,458,stayers
0603700,30.0,85400.0,1480.0,83150.0,1933.0,36000.0,0.24390243902439024,35000.0,31000.0,2433,44504,stayers
0603900,25.0,71600.0,1030.0,70000.0,1252.5,31500.0,0.1990293358628482,29500.0,26000.0,43,393,stayers
0604100,30.0,160300.0,2143.0,146165.0,2988.0,83000.0,0.2073548387096774,72000.0,60000.0,28,993,stayers
0604700,15.0,75000.0,1031.5,70000.0,1188.5,32000.0,0.19629999999999997,30000.0,28000.0,80,845,stayers
0605300,20.0,92000.0,1560.0,89200.0,1772.0,39600.0,0.2145867768595041,36000.0,32500.0,73,1854,stayers
0605500,20.0,109600.0,1800.0,104000.0,2060.0,50000.0,0.22110253105226155,45150.0,43000.0,27,755,stayers
0605700,20.0,85000.0,1420.0,76670.0,1580.0,45000.0,0.22416666666666665,40000.0,32500.0,17,347,stayers
0605900,25.0,109000.0,1830.0,105000.0,2137.0,46000.0,0.22381208053691273,43400.0,40000.0,534,12940,stayers
0606100,20.0,114900.0,1608.0,103000.0,1925.0,60000.0,0.20716800000000002,55000.0,50000.0,55,1525,stayers
0606500,25.0,85000.0,1428.0,80600.0,1500.0,37000.0,0.21538461538461537,35000.0,31000.0,528,8615,stayers
0606700,24.0,88200.0,1348.0,83600.0,1538.0,43000.0,0.20890227576974563,40000.0,38000.0,279,5904,stayers
0607100,20.0,82400.0,1345.0,79700.0,1438.0,35000.0,0.20977494499353894,34000.0,31000.0,449,7007,stayers
0607300,20.0,98900.0,1620.0,94200.0,1998.0,43000.0,0.2289795918367347,40000.0,37000.0,590,12386,stayers
