ORIGIN,JWMNP,FINCP,GRNTP,HINCP,SMOCP,PINCP,HH_COST,PERNP,WAGP,UNEMP,EMP,type
0100190,20.0,57200.0,640.0,50400.0,510.0,34400.0,0.13921507064364208,31350.0,30000.0,53,1023,stayers
0100290,20.0,77000.0,755.0,68170.0,847.0,39600.0,0.14653846153846153,35000.0,34000.0,104,2020,stayers
0100400,20.0,54200.0,630.0,49610.0,535.0,31500.0,0.13987417840375588,30000.0,29000.0,10,499,stayers
0100600,20.0,68800.0,591.0,61800.0,668.0,36000.0,0.1384918032786885,33000.0,32000.0,25,488,stayers
0100700,20.0,61000.0,640.0,55275.0,656.0,35000.0,0.1517255297679112,34000.0,31000.0,23,400,stayers
0100800,30.0,60000.0,648.0,54200.0,650.0,36500.0,0.14859068346697213,35000.0,32000.0,18,437,stayers
0100900,20.0,59000.0,621.0,52300.0,574.5,30100.0,0.14574969474969476,29150.0,26700.0,12,308,stayers
0101000,20.0,60000.0,627.0,50600.0,539.5,34000.0,0.13912857390400277,32000.0,31000.0,22,465,stayers
0101100,20.0,59100.0,600.0,52400.0,529.0,34950.0,0.12926640926640928,31150.0,30000.0,20,338,stayers
0101200,25.0,93850.0,1060.0,86750.0,1137.5,50000.0,0.15440402330329134,47500.0,45000.0,29,810,stayers
0101300,20.0,70000.0,850.0,63100.0,915.0,39215.0,0.16620167886353854,35000.0,35000.0,129,2091,stayers
0101590,20.0,70000.0,830.0,59410.0,819.0,39125.0,0.15325301204819275,36000.0,35000.0,29,669,stayers
0101700,20.0,55000.0,650.0,43100.0,522.0,30000.0,0.1611134903640257,28000.0,26000.0,35,365,stayers
0101800,20.0,54400.0,650.5,51300.0,534.0,31600.0,0.12987740805604203,30000.0,30000.0,19,444,stayers
0101900,15.0,80000.0,834.0,69000.0,903.5,35000.0,0.156,32000.0,30000.0,12,434,stayers
0102090,20.0,70000.0,852.0,62000.0,788.0,38000.0,0.16182857142857143,35000.0,35000.0,62,1115,stayers
0102200,15.0,47300.0,590.0,42000.0,472.0,30000.0,0.15000000000000002,28000.0,26000.0,36,407,stayers
0102300,20.0,62000.0,643.0,53750.0,562.0,33450.0,0.13289002557544757,30000.0,28000.0,39,665,stayers
0102400,20.0,52000.0,668.0,44700.0,565.0,30000.0,0.16963235294117648,26450.0,25000.0,43,477,stayers
0102500,15.0,62000.0,730.0,54800.0,733.0,34000.0,0.15627906976744188,30000.0,30000.0,86,1700,stayers
0102600,20.0,79700.0,860.0,70000.0,850.0,41350.0,0.14685777287761853,40000.0,36000.0,19,515,stayers
0102700,20.0,64200.0,823.0,56450.0,761.0,35000.0,0.1617,32100.0,32000.0,57,1308,stayers
0400100,20.0,80800.0,1127.0,75000.0,1150.0,40000.0,0.18218623481781376,40000.0,37000.0,678,15337,stayers
0400200,20.0,70000.0,952.0,62490.0,930.0,35550.0,0.17498771498771498,32000.0,31000.0,212,3542,stayers
0400300,20.0,41100.0,552.5,36000.0,233.0,29000.0,0.11076923076923079,27000.0,26250.0,98,846,stayers
0400400,15.0,65000.0,1120.0,61750.0,464.0,30000.0,0.13810344827586207,29050.0,27150.0,47,595,stayers
0400500,15.0,60000.0,944.0,55350.0,811.0,33000.0,0.18204334365325076,30000.0,27400.0,29,587,stayers
0400600,15.0,52800.0,781.0,50000.0,605.0,32000.0,0.16073394495412843,29150.0,28000.0,45,553,stayers
0400700,15.0,55450.0,885.0,53600.0,695.0,30000.0,0.16615384615384615,28000.0,26000.0,41,567,stayers
0400800,20.0,64100.0,892.0,60000.0,743.0,36400.0,0.1486682808716707,33000.0,31500.0,85,1282,stayers
0400900,15.0,59000.0,760.0,53300.0,680.0,30910.0,0.16208053691275168,27000.0,25000.0,38,574,stayers
0500100,15.0,77400.0,880.0,72600.0,980.0,40000.0,0.14982118211821183,38000.0,35000.0,28,1029,stayers
0500200,20.0,78000.0,780.0,67700.0,944.5,38750.0,0.15225806451612903,36000.0,35000.0,26,660,stayers
0500300,15.0,51900.0,670.0,45600.0,511.0,29855.0,0.1504424778761062,25000.0,24000.0,25,551,stayers
0500400,15.0,53440.0,643.0,46000.0,508.0,28700.0,0.14210526315789473,26000.0,25000.0,20,504,stayers
0500590,15.0,59200.0,680.0,51000.0,595.5,31600.0,0.14129729729729731,30000.0,27000.0,55,1158,stayers
0500700,15.0,52000.0,637.5,44500.0,450.0,30000.0,0.1404255319148936,28800.0,26500.0,20,375,stayers
0500800,15.0,53200.0,625.0,45800.0,513.0,33200.0,0.1476718403547672,31000.0,28000.0,21,426,stayers
0500900,17.5,72900.0,872.0,63000.0,888.0,39200.0,0.16767123287671232,35900.0,35000.0,51,1144,stayers
0501100,20.0,73000.0,763.0,63600.0,804.0,37700.0,0.15652173913043477,36000.0,35000.0,31,725,stayers
0501200,26.5,82000.0,912.5,75400.0,920.0,43000.0,0.14351020408163265,40000.0,40000.0,9,438,stayers
0501300,15.0,58000.0,651.0,52700.0,595.0,30000.0,0.14857696030977735,28000.0,26950.0,37,551,stayers
