puma,TOT_JOBS,JOBS_AGE_29,JOBS_AGE_30_54,JOBS_AGE_55,JOBS_EARN_1250,JOBS_EARN_1251_3333,JOBS_EARN_3334,AGR,EXT,UTL,CON,MFG,WHL,RET,TRN,INF,FIN,REL,PRF,MNG,ADM,EDU,MED,ENT,FOD,SRV,PUB,JOBS_EDU_NOHS,JOBS_EDU_HS,JOBS_EDU_NOBACH,JOBS_EDU_BACH
0100100,65126,17136,33682,14308,16098,26779,22249,327,187,667,3326,15452,2648,8507,1388,475,2093,604,1452,329,2706,5244,8385,547,6459,1295,3035,6271,15596,15924,10199
0100200,55849,12289,30305,13255,11232,16446,28171,589,18,336,4311,12260,1827,5572,1965,439,568,484,4830,98,3148,6750,3403,888,4140,860,3363,4811,12422,13334,12993
0100301,78929,19094,42045,17790,17004,20970,40955,164,74,81,1425,5879,2183,11442,1145,1110,1688,892,25107,365,6286,4888,4724,1140,8349,1240,747,6405,15300,18471,19659
0100302,73792,18404,39227,16161,19130,26425,28237,13,0,610,3200,6461,1667,7557,469,1022,1621,1030,5888,293,8638,3284,18803,1187,6280,1788,3981,6420,15549,18625,14794
0100400,38349,9478,20490,8381,8663,17262,12424,339,20,471,1287,12699,1306,4607,1680,260,749,266,647,80,1130,3249,4185,103,2904,536,1831,4218,10119,9416,5118
0100500,42543,11351,22345,8847,10015,19565,12963,212,18,412,1361,12039,1466,6187,1150,443,896,478,1198,479,2266,2958,4317,314,4119,818,1412,4881,10118,9997,6196
0100600,55347,12855,30219,12273,12340,20116,22891,224,68,430,3811,13855,2246,6442,1572,260,1423,459,1751,840,3422,3955,6304,283,4922,1059,2021,5588,13943,14067,8894
0100700,37022,9531,19312,8179,8457,16222,12343,483,14,277,1507,9162,1119,4703,2864,240,904,268,689,230,1196,2931,4713,190,3076,679,1777,3639,9418,9358,5076
0100800,29093,7619,15446,6028,7167,12108,9818,129,23,218,2284,4849,1569,4494,761,152,711,150,956,157,1029,2801,2898,146,3227,1016,1523,2987,7145,7105,4237
0100900,37243,9913,19670,7660,10386,15353,11504,14,36,273,1000,5575,1004,4965,792,358,981,329,758,97,3610,2904,7648,271,3836,860,1932,3600,8510,9449,5771
0101000,47304,10698,25979,10627,10224,17596,19484,574,432,474,1621,14827,902,4820,2039,225,880,365,663,101,2889,5060,5133,258,2961,746,2334,4901,12688,12023,6994
0101100,42278,11091,22042,9145,11087,16320,14871,179,6,280,1188,6814,1711,5970,922,506,891,391,1377,128,2953,4007,6439,290,5026,1004,2196,4108,10163,10253,6663
0101200,92163,22327,51343,18493,19404,28844,43915,177,474,1627,5590,5534,6329,12051,1510,1115,11515,1367,7362,2175,6401,6410,7500,1202,8482,2859,2483,7634,18968,22705,20529
0101301,30276,4894,17185,8197,5542,10075,14659,4,54,112,973,2731,2041,2678,1318,177,376,225,280,184,2185,2442,11363,62,1359,955,757,2913,6829,8416,7224
0101302,122469,24729,69004,28736,18524,34858,69087,0,66,4957,5502,6841,5244,6842,4669,1171,8445,2195,8416,1127,5754,10339,27597,1510,8516,2881,10397,10189,26068,32301,29182
