puma,TOT_JOBS,JOBS_AGE_29,JOBS_AGE_30_54,JOBS_AGE_55,JOBS_EARN_1250,JOBS_EARN_1251_3333,JOBS_EARN_3334,AGR,EXT,UTL,CON,MFG,WHL,RET,TRN,INF,FIN,REL,PRF,MNG,ADM,EDU,MED,ENT,FOD,SRV,PUB,JOBS_EDU_NOHS,JOBS_EDU_HS,JOBS_EDU_NOBACH,JOBS_EDU_BACH
0100100,65457,17347,34154,13956,16751,27438,21268,327,205,671,3205,15543,2637,8576,1321,487,2136,636,1422,297,2641,5368,8642,512,6493,1224,3114,6367,15886,15785,10072
0100200,53503,11576,29503,12424,10810,16538,26155,513,25,317,3615,11701,1745,5572,1622,370,567,442,4612,97,3150,6841,3310,912,3905,883,3304,4480,11870,12913,12664
0100301,78052,19057,42152,16843,17911,20914,39227,144,62,68,1393,5892,2020,11382,1253,1169,1620,871,23591,349,8165,4787,4209,644,8403,1261,769,5996,15325,18086,19588
0100302,71799,17583,38760,15456,19020,26195,26584,19,1,603,3002,6514,1869,7718,392,1160,1648,1053,5712,303,7076,3229,18338,1169,6276,1744,3973,6161,15190,18302,14563
0100400,36988,8958,20085,7945,8844,17100,11044,335,21,456,1219,12229,1297,4595,1422,244,775,281,648,87,870,3299,3988,119,2856,477,1770,3995,10033,9017,4985
0100500,42131,11244,22386,8501,10085,19413,12633,185,60,404,1330,12473,1476,6083,1077,547,908,464,985,477,1652,2909,4438,259,4167,819,1418,4908,9956,9976,6047
0100600,54389,12461,30161,11767,12460,19939,21990,220,82,435,3405,13467,2161,6405,1569,280,1446,401,1670,806,3643,3884,6261,324,4793,1075,2062,5395,13647,13970,8916
0100700,36722,9555,19259,7908,8776,16409,11537,418,6,270,1515,8704,1301,4707,2771,274,877,264,732,238,1341,2961,4641,198,3053,652,1799,3442,9382,9094,5249
0100800,28396,7391,15148,5857,7129,11977,9290,121,25,237,2144,4652,1639,4340,688,150,697,142,908,220,1119,2743,2840,151,3037,1053,1490,2834,7008,6789,4374
0100900,37519,9854,20000,7665,10413,15766,11340,15,39,270,1143,5651,952,4869,887,350,1016,361,729,61,3644,2941,7687,305,3832,768,1999,3625,8694,9554,5792
0101000,46308,10355,25737,10216,9890,17583,18835,567,442,538,1400,14524,945,4718,1940,272,879,364,643,93,2818,5005,4882,388,2972,700,2218,4664,12341,11930,7018
0101100,41729,10669,22121,8939,11207,16380,14142,175,0,293,1034,6602,1668,5725,987,537,921,342,1354,129,3219,4003,6568,285,4746,1004,2137,3972,9781,10446,6861
0101200,89925,21745,50281,17899,19808,28628,41489,180,404,1965,4802,5283,6184,11836,1275,1240,11892,1265,7057,2227,6291,6295,7572,1608,8069,2574,1906,7171,18361,21900,20748
0101301,30831,5005,17624,8202,5961,10242,14628,6,64,119,941,2842,2257,2821,1804,151,356,224,267,146,2139,2566,11188,25,1226,938,751,2896,7004,8714,7212
0101302,119640,23159,68374,28107,17959,35458,66223,0,66,5116,4931,6894,5064,7034,4656,1134,8385,2071,8135,1070,5711,10228,27346,933,7977,2675,10214,9517,25435,32287,29242
0101303,132966,34466,71163,27337,33376,42146,57444,31,68,153,4633,3821,6376,19531,2703,4660,12532,2373,9471,4447,12384,7138,17023,2787,14316,4894,3625,10353,26099,31962,30086
0101304,45732,12626,23788,9318,12858,16078,16796,19,144,492,3547,5194,2860,9025,1263,300,884,708,1074,140,2436,4568,4017,374,6229,1280,1178,4357,10626,10865,7258
0101305,37597,8944,20712,7941,8007,12894,16696,0,1181,282,2424,4716,3191,4390,2916,573,2159,370,1313,754,1791,2185,4221,302,3053,1024,752,3637,9234,9604,6178
0101400,33072,7903,17490,7679,8311,14000,10761,452,227,598,827,6113,762,5117,825,211,1119,265,606,268,932,3240,6005,113,2858,738,1796,3088,8406,8519,5156
0101500,27949,6633,15839,5477,4814,9173,13962,382,1066,162,1876,12205,589,2671,1908,91,232,95,553,96,1083,1107,939,247,1300,522,825,2877,7254,7291,3894
0101600,69005,20263,35650,13092,19763,24390,24852,47,163,122,2505,4222,1156,8183,1104,785,1815,1598,3165,472,4735,11271,13038,814,9386,1599,2825,5982,14042,16159,12559
0101700,33531,6703,18101,8727,8483,14187,10861,1016,68,339,1688,6445,657,3897,698,172,696,328,473,160,1314,4729,4976,298,2202,805,2570,3944,9268,8608,5008
0101800,32781,7897,17679,7205,8169,14223,10389,473,28,384,1947,7679,703,4188,675,295,623,246,657,262,2317,2524,3995,276,2722,705,2082,3600,8443,7960,4881
0101900,57415,18051,29009,10355,17070,20902,19443,338,48,268,2823,7037,1413,6908,2493,443,1109,896,2119,256,4625,9541,6335,846,7412,1127,1378,5067,11742,12436,10119
0102000,109257,24691,59466,25100,26225,40396,42636,40,16,759,3493,5630,3201,11946,1799,1610,4431,1437,6977,953,9480,8205,15446,1325,10257,3860,18392,9881,23700,28471,22514
0102100,57986,14300,32171,11515,13327,22454,22205,466,185,327,2356,13110,2591,7311,3782,524,1260,514,1243,271,2758,4298,5176,2249,5272,1000,3293,5894,14643,14677,8472
0102200,39157,7617,21546,9994,8973,14854,15330,1416,343,705,1416,7978,1135,4679,2071,284,1179,181,558,94,913,3923,4217,1266,2579,704,3516,4133,10681,10442,6284
0102300,38696,9117,20792,8787,9743,17869,11084,906,39,949,1284,8870,1236,5202,946,238,963,386,880,119,1609,3293,5171,250,3432,913,2010,4233,9996,9686,5664
0102400,43167,9838,23282,10047,10465,18487,14215,938,207,365,1519,9251,891,4355,2989,296,1279,539,852,173,1105,5251,5048,369,3963,733,3044,4817,10748,10843,6921
0102500,70810,15679,38851,16280,17813,27057,25940,864,99,1192,2851,9319,3242,9885,3202,686,1671,656,2468,494,3560,5765,12794,406,6781,1559,3316,6658,17182,19060,12231
0102600,71849,19500,37074,15275,20670,29213,21966,858,68,688,4195,4175,2159,12981,1512,478,1658,1882,2211,365,3413,6258,8792,1279,13198,1973,3706,6735,16164,17339,12111
0102701,69840,16310,37274,16256,16236,24495,29109,52,67,834,2145,6910,3563,8243,4284,1406,1804,1196,3949,753,6084,3932,11807,351,6320,2157,3983,6861,16071,17813,12785
0102702,51884,12855,27932,11097,14693,19187,18004,2,2,44,2336,499,1777,5003,1653,563,2853,1096,4606,215,4328,6836,11387,563,6352,1352,417,4501,11273,12863,10392
0102703,55032,12794,30272,11966,12564,18458,24010,709,283,482,6671,11329,3071,8441,2045,267,859,774,1448,79,2591,4098,2410,649,4453,2274,2099,5959,14179,13542,8558
0400100,26189,8262,13656,4271,7651,10281,8257,298,4,25,1817,130,379,6703,263,179,570,372,1346,136,1420,1128,5574,657,3989,892,307,2762,4646,6129,4390
0400101,24200,6742,12064,5394,7581,9358,7261,288,2,0,1954,339,370,4977,1715,285,810,1464,767,12,2361,1024,3065,354,3675,731,7,2744,4842,6050,3822
0400102,35690,8389,18822,8479,8425,12841,14424,74,33,398,3146,6160,1346,5138,817,90,1074,851,1563,286,1800,625,5777,873,4603,1036,0,4301,7251,9328,6421
0400103,61033,13874,33875,13284,14599,20737,25697,37,0,0,4466,1820,2916,5428,757,1750,2694,586,2240,1086,4630,11639,10251,1248,4599,1885,3001,7054,12088,15904,12113
0400104,34397,10309,17044,7044,10396,13999,10002,53,17,1,1232,305,446,7660,476,510,905,682,1603,443,2526,1185,9248,1078,4974,1053,0,3681,6438,8269,5700
0400105,54498,15216,29402,9880,13969,19957,20572,88,26,215,6335,2700,1382,9114,307,2228,1290,1097,2397,89,4352,6895,5141,1953,6454,1427,1008,6378,10116,12997,9791
0400106,51553,11351,29415,10787,11418,16237,23898,4,0,205,1704,4576,905,4622,96,495,4455,830,4524,288,3135,7303,11413,585,3696,1192,1525,5066,9159,13407,12570
0400107,42519,8894,25111,8514,7150,10927,24442,73,10,4,3454,13139,1375,4218,432,449,6306,353,1751,535,1721,1996,1520,621,3448,1114,0,3955,7236,10601,11833
0400108,84693,20507,47422,16764,17789,28320,38584,45,279,151,5749,8661,3406,12869,1757,4970,5088,1192,7164,1769,10193,4852,5176,1810,7397,1809,356,9896,16384,21073,16833
0400109,168151,41447,92613,34091,34802,57590,75759,52,1,5077,10053,10827,7279,13657,4549,2924,20814,3739,9621,2623,20329,27076,11318,2339,11292,3588,993,17494,30282,41215,37713
0400110,133863,34020,71492,28351,29873,42379,61611,83,51,106,4703,5875,5209,16314,1077,5268,14071,3750,12391,1220,13565,5210,15758,2409,20293,4577,1933,13164,23228,32666,30785
0400111,59761,12608,33811,13342,9374,18398,31989,88,118,60,2202,591,2322,3913,1252,1813,5506,1364,4040,519,5868,1396,16309,3341,4020,2368,2671,5390,10659,15723,15381
0400112,47820,11968,25505,10347,11045,16589,20186,59,0,9,2209,1367,1239,5058,757,936,2669,1021,3988,3184,5601,1226,5550,2423,8996,1476,52,4788,8471,11546,11047
0400113,47461,11841,25276,10344,12205,16705,18551,56,0,0,919,332,1147,10106,187,330,4955,2148,3189,719,6770,3204,5720,638,5459,1062,520,5025,8384,11463,10748
0400114,24983,6440,13085,5458,6695,10053,8235,60,0,0,2285,604,559,3292,176,326,1149,818,2258,177,3445,1240,3285,253,3936,1120,0,2998,4760,6078,4707
0400115,64877,13706,37543,13628,11313,21890,31674,24,5,0,4913,2991,2262,8796,151,335,14013,663,5110,827,6284,537,12292,533,3458,996,687,7428,12231,15838,15674
0400116,66792,14622,36732,15438,13606,26727,26459,61,1,7,1288,251,1408,8086,245,606,4216,788,4541,1774,14222,9070,13295,332,4423,1855,323,7658,12360,17269,14883
0400117,86393,21314,46964,18115,19101,30855,36437,183,7,8,2898,1337,2907,8155,1079,2012,7165,5802,8942,1860,15041,2836,11167,2168,8831,3316,679,9297,15606,20910,19266
0400118,302550,53030,179407,70113,40015,98652,163883,75,1370,6323,12959,14417,13278,5774,20230,5215,21313,8763,20235,5281,27745,8204,48992,5927,18810,8501,49138,33579,59616,86357,69968
0400119,43873,8391,25476,10006,6136,16934,20803,116,0,231,4558,6505,4733,4784,2337,401,1294,762,2170,137,8314,2430,1423,27,1569,1998,84,7492,9263,11230,7497
0400120,27826,7338,14976,5512,6447,10322,11057,47,1,0,671,1339,1124,2850,157,872,2297,452,3367,576,3095,712,4806,321,3835,1301,3,3088,5050,6592,5758
0400121,81936,19711,46295,15930,13817,33600,34519,1136,18,283,4709,14191,11856,15779,16913,106,361,990,1255,454,2887,3189,1466,251,4050,2040,2,15515,17771,18944,9995
0400122,43508,11212,23859,8437,11198,15957,16353,2,0,0,3635,3434,3124,4833,3473,520,757,218,390,39,3135,13093,3398,153,2294,1005,5,7159,8496,9745,6896
0400123,17116,5814,8458,2844,5143,7512,4461,9,0,0,453,81,77,4422,1700,83,391,186,279,314,1733,1273,2723,575,2738,79,0,2599,3077,3455,2171
